"DateHour"	"LocationTypeID"	"LocationID"	"VisitID"	"CharacteristicID"	"ResultValue"	"Units"	"Qualifier"	"FlagID"	"SampleTypeID"	"CharacteristicName"	"SampleType"	"Datetime"	"ProjectID"	"SampleDepthType"	"Comment"	"MunicipalityID"	"WaterBodyID"	"Latitude"	"Longitude"	"WaterType"	"LocationTypeName"	"Precip.48"	"Weather"
"27321"	2000-12-13 07:00:00	22	"ALB006"	423	"TP"	0.08	"mg/l"	NA	NA	"S"	"Total Phosphorus"	"S"	2000-12-13 07:28:00	"BASE"	NA	"Ducks U/S, Ice at edges"	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0.02	"Dry"
"27325"	2000-12-13 07:00:00	22	"ALB006"	423	"FCOLI"	890	"CFU/100ml"	NA	NA	"S"	"Fecal Coliform"	"S"	2000-12-13 07:28:00	"BASE"	NA	"Ducks U/S, Ice at edges"	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0.02	"Dry"
"27331"	2000-12-13 07:00:00	22	"ALB006"	423	"SPCOND"	1620	"uS/cm"	NA	NA	"S"	"Specific conductance"	"S"	2000-12-13 07:28:00	"BASE"	NA	"Ducks U/S, Ice at edges"	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0.02	"Dry"
"27335"	2000-12-13 07:00:00	22	"ALB006"	423	"TEMP_WATER"	0	"deg C"	NA	NA	"S"	"Water Temperature"	"S"	2000-12-13 07:28:00	"BASE"	NA	"Ducks U/S, Ice at edges"	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0.02	"Dry"
"27338"	2000-12-13 07:00:00	22	"ALB006"	423	"NO3"	0.81	"mg/l"	NA	NA	"S"	"Nitrate"	"S"	2000-12-13 07:28:00	"BASE"	NA	"Ducks U/S, Ice at edges"	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0.02	"Dry"
"28003"	2001-02-14 07:00:00	22	"ALB006"	436	"NO23"	1.02048809705887	"mg/l"	NA	NA	"S"	"Nitrate + Nitrite"	"S"	2001-02-14 07:40:00	"BASE"	NA	NA	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0	"Dry"
"28006"	2001-02-14 07:00:00	22	"ALB006"	436	"TEMP_WATER"	2	"deg C"	NA	NA	"S"	"Water Temperature"	"S"	2001-02-14 07:40:00	"BASE"	NA	NA	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0	"Dry"
"28009"	2001-02-14 07:00:00	22	"ALB006"	436	"SPCOND"	1160	"uS/cm"	NA	NA	"S"	"Specific conductance"	"S"	2001-02-14 07:40:00	"BASE"	NA	NA	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0	"Dry"
"28018"	2001-02-14 07:00:00	22	"ALB006"	436	"TP"	0.0849993494250131	"mg/l"	NA	NA	"S"	"Total Phosphorus"	"S"	2001-02-14 07:40:00	"BASE"	NA	NA	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0	"Dry"
"28019"	2001-02-14 07:00:00	22	"ALB006"	436	"DO"	8.8	"mg/l"	NA	NA	"S"	"Dissolved Oxygen"	"S"	2001-02-14 07:40:00	"BASE"	NA	NA	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0	"Dry"
"28022"	2001-02-14 07:00:00	22	"ALB006"	436	"FCOLI"	990	"CFU/100ml"	NA	NA	"S"	"Fecal Coliform"	"S"	2001-02-14 07:40:00	"BASE"	NA	NA	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0	"Dry"
"28027"	2001-02-14 07:00:00	22	"ALB006"	436	"DO_SAT"	63.7903304468237	"%"	NA	NA	"S"	"Dissolved Oxygen, % saturation"	"S"	2001-02-14 07:40:00	"BASE"	NA	NA	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0	"Dry"
