# From roughly 16:30 26 Jan 2014 to 08:30 27 Jan 2014
# Sensor 1 is onboard-temperature
# Sensor 2 is external thermistor temperature in water
# Sensor 3 is garbage
# 
# time         sensor    value
2451           2         286.1350
2457           1         -4.7340
2457           3         303.7440
2457           2         286.1340
2463           1         -4.8230
2463           3         303.7470
2463           2         286.1300
2469           1         -4.6450
2469           3         303.7450
2469           2         286.1270
2475           1         -5.1610
2475           3         303.7400
2475           2         286.1270
2481           1         -5.4640
2481           3         303.7390
2481           2         286.1240
2487           1         -4.8590
2487           3         303.7270
2487           2         286.1290
2493           1         -5.2500
2493           3         303.7340
2493           2         286.1270
